FID,uuid,gmtco_point,detected_at,ti4,ti5,scan,track,frp,day_night,confidence,created_at,updated_at
nasa_fire.47433703,5636e570-6f18-b2dc-3148-a009f1ba833e,POINT (-105.13773 37.45368),2018-07-02T08:42:00,303.9,288.9,0.4,0.37,2,night,,2018-07-02T12:45:19.654,2018-07-02T12:45:19.654
nasa_fire.47433696,74b02bc5-b097-cb98-1358-e43b9b4775c9,POINT (-105.10911 37.45992),2018-07-02T08:42:00,298.5,287.1,0.4,0.37,1.4,night,,2018-07-02T12:45:19.612,2018-07-02T12:45:19.612
nasa_fire.47433687,51a51d36-a478-29bb-c523-f834ade45d7b,POINT (-105.13662 37.58908),2018-07-02T08:42:00,316.9,289.2,0.4,0.37,1.4,night,,2018-07-02T12:45:19.55,2018-07-02T12:45:19.55
nasa_fire.47433690,4964336a-8890-bbf8-1a89-7bcec2296022,POINT (-105.13725 37.5685),2018-07-02T08:42:00,311.5,288.4,0.4,0.37,1.7,night,,2018-07-02T12:45:19.569,2018-07-02T12:45:19.569
nasa_fire.47433691,ac80da11-8810-fa85-cdb1-a57dd9933f40,POINT (-105.13286 37.56787),2018-07-02T08:42:00,315.9,288.1,0.4,0.37,1.5,night,,2018-07-02T12:45:19.581,2018-07-02T12:45:19.581
nasa_fire.47433692,f2b2e6e8-ce84-421f-a3ef-7381801b2126,POINT (-105.13821 37.56519),2018-07-02T08:42:00,330,289.9,0.4,0.37,6.9,night,,2018-07-02T12:45:19.588,2018-07-02T12:45:19.588
nasa_fire.47433693,73c5a9b7-6fa8-97c1-2ef6-10de1fdcd11d,POINT (-105.1338 37.56456),2018-07-02T08:42:00,327.9,291.4,0.4,0.37,6.6,night,,2018-07-02T12:45:19.594,2018-07-02T12:45:19.594
nasa_fire.47433847,b5de7d80-e47d-e68a-d8b0-bde9573fb753,POINT (-107.97256 37.46432),2018-07-02T08:42:00,297.9,283.2,0.48,0.4,0.9,night,,2018-07-02T12:45:20.647,2018-07-02T12:45:20.647
nasa_fire.47433846,cac80b4c-a8fb-c8ba-9d1e-18bfc269d39a,POINT (-107.94066 37.46425),2018-07-02T08:42:00,307.5,283.8,0.48,0.4,1.6,night,,2018-07-02T12:45:20.64,2018-07-02T12:45:20.64
nasa_fire.47433845,826fce8d-e0ae-105f-703d-c588ef8d43e0,POINT (-107.96671 37.46738),2018-07-02T08:42:00,298.2,284.6,0.48,0.4,0.8,night,,2018-07-02T12:45:20.633,2018-07-02T12:45:20.633
nasa_fire.47433844,79d6f027-645e-cfe5-0989-66f8bb6305e6,POINT (-107.96603 37.47105),2018-07-02T08:42:00,301.4,284.2,0.48,0.4,1.1,night,,2018-07-02T12:45:20.625,2018-07-02T12:45:20.626
nasa_fire.47433843,a60a0a92-0459-c00b-7492-a132e3468128,POINT (-107.96564 37.47476),2018-07-02T08:42:00,304.5,285.3,0.48,0.4,1.1,night,,2018-07-02T12:45:20.619,2018-07-02T12:45:20.619
nasa_fire.47433842,419eac2d-e6b2-33dc-1ead-7e55012e8856,POINT (-107.97121 37.47543),2018-07-02T08:42:00,307.2,285,0.48,0.4,1.4,night,,2018-07-02T12:45:20.612,2018-07-02T12:45:20.612
nasa_fire.47433841,32e37a4b-11e2-3530-5f19-50181140276a,POINT (-107.98105 37.48791),2018-07-02T08:42:00,295.6,282.5,0.48,0.4,1.1,night,,2018-07-02T12:45:20.605,2018-07-02T12:45:20.605
nasa_fire.47433840,dbe49953-afef-7e26-2923-bddd3ceb0e45,POINT (-107.97916 37.49897),2018-07-02T08:42:00,302.3,281.8,0.48,0.4,3.2,night,,2018-07-02T12:45:20.597,2018-07-02T12:45:20.598
nasa_fire.47433839,86a3806f-2cc8-2079-98e5-e680cd9bf708,POINT (-107.98441 37.4996),2018-07-02T08:42:00,335,286,0.48,0.4,3.2,night,,2018-07-02T12:45:20.59,2018-07-02T12:45:20.59
nasa_fire.47433838,b5914c7b-777d-7473-e2a6-17d7262bb85d,POINT (-107.98004 37.48969),2018-07-02T08:42:00,296.5,282.6,0.48,0.4,0.9,night,,2018-07-02T12:45:20.583,2018-07-02T12:45:20.583
nasa_fire.47433837,ca99d4a7-5e41-e33c-454a-cefcb90077ad,POINT (-107.98396 37.49766),2018-07-02T08:42:00,301.7,280.9,0.48,0.4,3.3,night,,2018-07-02T12:45:20.574,2018-07-02T12:45:20.574
nasa_fire.47433836,a82fbe28-4b96-9ce2-66d6-44aa2889ae23,POINT (-107.98337 37.50135),2018-07-02T08:42:00,336.8,287.4,0.48,0.4,3.3,night,,2018-07-02T12:45:20.567,2018-07-02T12:45:20.567
nasa_fire.47433603,ffbeda98-9b7c-38a0-2c08-a3e80a807ac3,POINT (-106.03637 39.03284),2018-07-02T08:42:00,312,285.2,0.43,0.38,2.7,night,,2018-07-02T12:45:18.976,2018-07-02T12:45:18.976
nasa_fire.47433604,449f91c5-7284-19af-97a7-589d4157a14b,POINT (-106.02679 39.03159),2018-07-02T08:42:00,300.4,281.7,0.43,0.38,5,night,,2018-07-02T12:45:18.983,2018-07-02T12:45:18.983
nasa_fire.47433605,2bd2cfbf-5cb7-3fc4-7d1d-0d70d6981080,POINT (-106.02201 39.03096),2018-07-02T08:42:00,319.1,286.5,0.43,0.38,2.7,night,,2018-07-02T12:45:18.99,2018-07-02T12:45:18.99
nasa_fire.47433637,55ad0d03-e2f9-a145-408c-e11fe4d20ab0,POINT (-105.12737 37.61185),2018-07-02T08:42:00,299.6,284.3,0.4,0.37,0.8,night,,2018-07-02T12:45:19.223,2018-07-02T12:45:19.223
nasa_fire.47433641,e22dfaa0-91dc-4b74-b5b9-3585fd247f55,POINT (-105.12808 37.60851),2018-07-02T08:42:00,298.6,286.5,0.4,0.37,0.8,night,,2018-07-02T12:45:19.252,2018-07-02T12:45:19.252
nasa_fire.47433642,e9e7b811-aa94-b830-436e-c3e66992b6bc,POINT (-105.12354 37.60786),2018-07-02T08:42:00,297.4,284.6,0.4,0.37,2.1,night,,2018-07-02T12:45:19.259,2018-07-02T12:45:19.259
nasa_fire.47433643,3b64d3d8-5291-7e33-3fd1-6d672dafb18d,POINT (-105.119 37.60722),2018-07-02T08:42:00,301.8,286,0.4,0.37,2.1,night,,2018-07-02T12:45:19.266,2018-07-02T12:45:19.266
nasa_fire.47433644,f955d56d-7599-753f-66cc-f6761b1882e2,POINT (-105.11449 37.60657),2018-07-02T08:42:00,301.1,284.5,0.4,0.37,0.5,night,,2018-07-02T12:45:19.273,2018-07-02T12:45:19.273
nasa_fire.47433816,f5de54ae-4d19-84b7-64a3-cdaab53d9d64,POINT (-107.89683 37.56623),2018-07-02T08:42:00,305,283.6,0.48,0.4,1,night,,2018-07-02T12:45:20.428,2018-07-02T12:45:20.428
nasa_fire.47433817,d90c64fd-f4dc-0711-3844-b1e078d54c32,POINT (-107.96932 37.57117),2018-07-02T08:42:00,305.9,284.1,0.48,0.4,1.3,night,,2018-07-02T12:45:20.434,2018-07-02T12:45:20.434
nasa_fire.47433818,e415f618-7295-2451-b084-a390ddd4ad41,POINT (-107.89234 37.56195),2018-07-02T08:42:00,295.4,281.7,0.48,0.4,1,night,,2018-07-02T12:45:20.441,2018-07-02T12:45:20.441
nasa_fire.47433645,3622841b-17f8-bbae-64c1-1e646e47b96b,POINT (-105.11091 37.60262),2018-07-02T08:42:00,324.2,288.3,0.4,0.37,10.6,night,,2018-07-02T12:45:19.28,2018-07-02T12:45:19.28
